EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
85	16:49:27	3	0.0008	1.118974536864294	1.1732536554336548	0.8547	0.8633	0.8590
86	17:05:46	4	0.0008	1.1281416467908356	1.173812985420227	0.8557	0.8632	0.8594
87	17:22:04	0	0.0004	1.1174274171510385	1.1743910312652588	0.8562	0.8637	0.8600
88	17:38:36	1	0.0004	1.1320466982525965	1.1746013164520264	0.8554	0.8635	0.8594
89	17:54:52	2	0.0004	1.1242661819985462	1.1735895872116089	0.8554	0.8633	0.8593
90	18:11:15	3	0.0004	1.1353035898849604	1.1732807159423828	0.8555	0.8633	0.8594
91	18:27:35	4	0.0004	1.1239758210759314	1.1727323532104492	0.8555	0.8632	0.8593
92	18:43:54	1	0.0002	1.1157002265136393	1.1730455160140991	0.8555	0.8632	0.8593
93	19:00:08	2	0.0002	1.1210486727456253	1.1728968620300293	0.8557	0.8632	0.8594
94	19:16:24	3	0.0002	1.1238219153490805	1.1729185581207275	0.8553	0.8632	0.8592
95	19:32:39	4	0.0002	1.123980998401604	1.1728878021240234	0.8553	0.8632	0.8592
