EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
78	12:07:39	1	0.0031	0.8158298158752066	1.1726065874099731	0.8659	0.8727	0.8693
79	12:17:02	2	0.0031	0.8144945177205262	1.1734670400619507	0.8649	0.8727	0.8688
80	12:26:27	3	0.0031	0.8159522724943975	1.1719917058944702	0.8663	0.8720	0.8691
81	12:35:47	4	0.0031	0.8206511354221712	1.172119140625	0.8649	0.8721	0.8685
82	12:45:11	1	0.0016	0.8092262798565484	1.1750210523605347	0.8651	0.8718	0.8684
83	12:54:31	2	0.0016	0.8238771144330265	1.171919822692871	0.8655	0.8723	0.8689
84	13:03:56	3	0.0016	0.8240872826870709	1.1719409227371216	0.8652	0.8731	0.8691
85	13:13:19	4	0.0016	0.8159132660144851	1.1697654724121094	0.8655	0.8729	0.8692
86	13:22:41	0	0.0008	0.8232565897679518	1.1690030097961426	0.8664	0.8729	0.8696
87	13:32:07	1	0.0008	0.8123883956097184	1.170777678489685	0.8648	0.8727	0.8687
88	13:41:33	2	0.0008	0.8227273801282521	1.1694005727767944	0.8655	0.8733	0.8694
89	13:50:56	0	0.0008	0.8035106523819859	1.1700880527496338	0.8663	0.8735	0.8699
90	14:00:20	1	0.0008	0.8064054528635646	1.1717009544372559	0.8660	0.8733	0.8696
91	14:09:46	2	0.0008	0.8101742749974604	1.1719878911972046	0.8651	0.8729	0.8690
92	14:19:11	3	0.0008	0.8103419856744862	1.1711809635162354	0.8656	0.8727	0.8691
93	14:28:33	4	0.0008	0.8207682362417617	1.171337366104126	0.8650	0.8731	0.8690
94	14:38:00	1	0.0004	0.8083613430046372	1.171468734741211	0.8653	0.8729	0.8691
95	14:47:25	2	0.0004	0.8042193888760512	1.1714613437652588	0.8651	0.8725	0.8688
96	14:56:50	3	0.0004	0.8148813668106284	1.171396255493164	0.8653	0.8727	0.8690
97	15:06:12	4	0.0004	0.8134145432905782	1.1702848672866821	0.8652	0.8731	0.8691
98	15:15:37	1	0.0002	0.805432874531973	1.1703451871871948	0.8653	0.8731	0.8692
99	15:24:58	2	0.0002	0.8103947785076877	1.1704444885253906	0.8653	0.8729	0.8691
100	15:34:22	3	0.0002	0.8057164540070862	1.1702102422714233	0.8652	0.8725	0.8689
101	15:43:49	4	0.0002	0.8057134857489949	1.1705021858215332	0.8651	0.8725	0.8688
